,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,scale,valu,resist,current,financi,unpreced,censorship,play,shitcoin,team
iter1_cv_split2,short,tri,financi,lose,doe,play,team,crisi,credit,scale
iter1_cv_split3,doe,scale,valu,resist,team,shitcoin,unpreced,play,censorship,lose
iter1_cv_split4,doe,sell,current,scale,peopl,tri,hors,unpreced,crisi,credit
iter1_cv_split5,sell,doe,peopl,current,valu,unpreced,team,financi,censorship,bankrupt
iter2_cv_split1,doe,sell,scale,peopl,team,shitcoin,current,tri,financi,play
iter2_cv_split2,doe,current,credit,bankrupt,short,financi,valu,play,crisi,scale
iter2_cv_split3,doe,valu,resist,scale,peopl,current,team,lose,censorship,tri
iter2_cv_split4,sell,doe,scale,valu,resist,transfer,censorship,unpreced,financi,bankrupt
iter2_cv_split5,team,financi,crisi,credit,short,shitcoin,unpreced,hors,valu,lose
iter3_cv_split1,doe,current,valu,bankrupt,financi,team,transfer,tri,credit,crisi
iter3_cv_split2,scale,resist,shitcoin,play,financi,valu,unpreced,crisi,hors,team
iter3_cv_split3,sell,doe,current,peopl,credit,transfer,tri,valu,unpreced,hors
iter3_cv_split4,sell,doe,scale,hors,censorship,crisi,valu,bankrupt,short,play
iter3_cv_split5,doe,valu,scale,current,resist,lose,short,hors,play,crisi
iter4_cv_split1,current,doe,scale,short,valu,crisi,credit,shitcoin,hors,unpreced
iter4_cv_split2,sell,doe,peopl,valu,resist,current,crisi,hors,financi,short
iter4_cv_split3,resist,peopl,scale,bankrupt,hors,crisi,credit,shitcoin,financi,tri
iter4_cv_split4,sell,current,valu,doe,scale,hors,team,transfer,tri,credit
iter4_cv_split5,doe,sell,resist,valu,team,censorship,lose,scale,play,current
iter5_cv_split1,doe,scale,valu,resist,transfer,short,lose,team,censorship,bankrupt
iter5_cv_split2,sell,scale,peopl,tri,financi,hors,doe,play,bankrupt,crisi
iter5_cv_split3,sell,doe,resist,scale,peopl,credit,crisi,current,hors,valu
iter5_cv_split4,sell,doe,resist,current,valu,peopl,censorship,tri,shitcoin,unpreced
iter5_cv_split5,doe,valu,resist,current,crisi,transfer,financi,play,bankrupt,credit
iter6_cv_split1,doe,resist,scale,play,valu,unpreced,shitcoin,lose,censorship,team
iter6_cv_split2,doe,valu,credit,bankrupt,censorship,play,financi,scale,current,team
iter6_cv_split3,scale,peopl,current,unpreced,shitcoin,bankrupt,financi,doe,team,hors
iter6_cv_split4,doe,sell,current,scale,valu,resist,bankrupt,crisi,financi,short
iter6_cv_split5,sell,doe,current,crisi,short,financi,bankrupt,valu,unpreced,transfer
iter7_cv_split1,resist,peopl,lose,hors,valu,shitcoin,unpreced,current,credit,doe
iter7_cv_split2,doe,current,crisi,bankrupt,play,valu,scale,financi,credit,tri
iter7_cv_split3,sell,doe,scale,resist,tri,current,team,crisi,credit,hors
iter7_cv_split4,valu,current,scale,doe,team,shitcoin,short,bankrupt,unpreced,lose
iter7_cv_split5,doe,sell,valu,scale,peopl,transfer,bankrupt,unpreced,financi,play
iter8_cv_split1,sell,resist,peopl,tri,lose,credit,crisi,valu,bankrupt,unpreced
iter8_cv_split2,scale,doe,valu,current,transfer,shitcoin,hors,play,lose,team
iter8_cv_split3,doe,sell,peopl,resist,scale,crisi,bankrupt,valu,play,shitcoin
iter8_cv_split4,doe,sell,scale,current,valu,credit,hors,unpreced,financi,shitcoin
iter8_cv_split5,current,doe,credit,tri,transfer,crisi,play,financi,scale,valu
iter9_cv_split1,resist,valu,current,censorship,credit,bankrupt,lose,hors,financi,shitcoin
iter9_cv_split2,doe,play,crisi,current,short,financi,peopl,transfer,tri,bankrupt
iter9_cv_split3,peopl,scale,hors,team,bankrupt,doe,lose,valu,censorship,shitcoin
iter9_cv_split4,doe,current,valu,resist,scale,credit,play,team,censorship,unpreced
iter9_cv_split5,sell,doe,valu,scale,current,tri,censorship,unpreced,bankrupt,financi
iter10_cv_split1,doe,scale,valu,current,censorship,play,team,transfer,shitcoin,bankrupt
iter10_cv_split2,doe,sell,scale,resist,hors,team,transfer,credit,unpreced,shitcoin
iter10_cv_split3,doe,current,peopl,valu,sell,financi,crisi,credit,team,bankrupt
iter10_cv_split4,doe,resist,valu,current,team,censorship,bankrupt,play,credit,tri
iter10_cv_split5,sell,scale,peopl,bankrupt,financi,hors,crisi,credit,short,unpreced
iter11_cv_split1,scale,resist,censorship,hors,valu,financi,shitcoin,unpreced,current,crisi
iter11_cv_split2,valu,scale,doe,current,transfer,bankrupt,unpreced,shitcoin,short,financi
iter11_cv_split3,sell,doe,current,valu,scale,tri,hors,credit,play,team
iter11_cv_split4,doe,sell,resist,censorship,bankrupt,valu,play,current,short,credit
iter11_cv_split5,sell,doe,peopl,transfer,shitcoin,financi,hors,credit,crisi,bankrupt
iter12_cv_split1,sell,scale,tri,doe,unpreced,financi,shitcoin,short,play,bankrupt
iter12_cv_split2,doe,sell,peopl,current,financi,valu,credit,shitcoin,bankrupt,unpreced
iter12_cv_split3,doe,valu,resist,current,tri,lose,scale,censorship,play,team
iter12_cv_split4,scale,resist,doe,valu,bankrupt,hors,crisi,shitcoin,financi,team
iter12_cv_split5,sell,current,doe,valu,resist,scale,team,financi,censorship,unpreced
iter13_cv_split1,doe,scale,current,unpreced,financi,hors,shitcoin,valu,bankrupt,transfer
iter13_cv_split2,doe,current,valu,sell,resist,scale,play,credit,team,tri
iter13_cv_split3,sell,current,valu,doe,hors,team,transfer,tri,credit,crisi
iter13_cv_split4,sell,peopl,resist,scale,crisi,lose,bankrupt,play,hors,financi
iter13_cv_split5,scale,doe,transfer,unpreced,crisi,credit,hors,play,shitcoin,financi
iter14_cv_split1,sell,peopl,scale,unpreced,shitcoin,financi,valu,censorship,current,lose
iter14_cv_split2,doe,scale,resist,valu,credit,censorship,team,hors,play,shitcoin
iter14_cv_split3,valu,resist,current,doe,crisi,lose,censorship,team,bankrupt,credit
iter14_cv_split4,doe,sell,peopl,scale,tri,unpreced,financi,hors,play,bankrupt
iter14_cv_split5,sell,doe,current,scale,peopl,valu,resist,short,financi,unpreced
iter15_cv_split1,valu,doe,current,financi,crisi,censorship,team,transfer,play,bankrupt
iter15_cv_split2,sell,doe,scale,peopl,valu,team,credit,hors,shitcoin,unpreced
iter15_cv_split3,sell,scale,resist,peopl,hors,doe,shitcoin,short,financi,unpreced
iter15_cv_split4,sell,doe,peopl,current,bankrupt,short,unpreced,valu,shitcoin,credit
iter15_cv_split5,sell,doe,current,valu,scale,resist,financi,credit,unpreced,play
iter16_cv_split1,doe,tri,credit,current,financi,valu,team,bankrupt,crisi,scale
iter16_cv_split2,sell,resist,scale,peopl,team,credit,bankrupt,tri,financi,hors
iter16_cv_split3,doe,sell,financi,crisi,credit,transfer,bankrupt,unpreced,valu,shitcoin
iter16_cv_split4,valu,current,scale,doe,transfer,play,shitcoin,team,censorship,hors
iter16_cv_split5,doe,sell,peopl,current,resist,scale,valu,censorship,short,play
iter17_cv_split1,sell,doe,current,valu,resist,tri,team,hors,credit,shitcoin
iter17_cv_split2,scale,resist,doe,valu,transfer,hors,crisi,financi,team,credit
iter17_cv_split3,sell,lose,crisi,scale,censorship,play,doe,valu,financi,bankrupt
iter17_cv_split4,scale,resist,current,peopl,valu,doe,hors,crisi,credit,financi
iter17_cv_split5,sell,doe,scale,peopl,transfer,crisi,financi,short,hors,shitcoin
iter18_cv_split1,doe,scale,peopl,transfer,shitcoin,short,hors,financi,crisi,credit
