,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,abc,depot,denial,decentr,integr,dark,damn,cure,remind,critic
iter1_cv_split2,zissou,sens,segwitx,segwit,clientbest,climb,school,scheme,friend,compar
iter1_cv_split3,abc,gimmick,goe,guy,hater,hepat,hodler,holder,hors,igni
iter1_cv_split4,abc,hepat,high,hodler,holder,home,hors,human,igni,import
iter1_cv_split5,abc,feel,financi,gimmick,hater,hepat,hodler,holder,human,igni
iter2_cv_split1,abc,compar,competit,concept,confidenti,convinc,core,couldn,sat,ripplem
iter2_cv_split2,abc,enhanc,everi,fantast,hater,hepat,hodler,holder,hors,human
iter2_cv_split3,abc,fantast,feel,financi,gimmick,hepat,hodler,holder,home,human
iter2_cv_split4,let,fork,friend,gimmick,hater,hodler,holder,hors,human,igni
iter2_cv_split5,abc,gimmick,hater,hepat,high,hors,human,igni,import,integr
iter3_cv_split1,zissou,crisi,critic,rope,cure,cycl,damn,credibl,dark,ripplem
iter3_cv_split2,abc,fantast,financi,gimmick,hepat,hodler,holder,hors,human,igni
iter3_cv_split3,abc,financi,gimmick,hater,hodler,hors,human,import,insuffer,feel
iter3_cv_split4,abc,feel,friend,hater,hepat,hodler,holder,hors,human,igni
iter3_cv_split5,abc,financi,gimmick,hater,hepat,high,hodler,holder,hors,igni
iter4_cv_split1,abc,gimmick,goe,hater,holder,hors,igni,integr,interest,itq
iter4_cv_split2,abc,revolutionarybch,creat,credibl,credit,crisi,critic,remind,cure,integr
iter4_cv_split3,laugh,enhanc,everi,fantast,financi,friend,hater,hepat,hodler,hors
iter4_cv_split4,abc,feel,financi,gimmick,hater,hepat,hodler,holder,human,igni
iter4_cv_split5,abc,hater,hepat,hodler,holder,home,hors,human,igni,import
iter5_cv_split1,abc,doge,dos,enhanc,fantast,feel,hepat,hodler,holder,hors
iter5_cv_split2,abc,scam,convinc,core,satoshi,sat,creat,credibl,scheme,crisi
iter5_cv_split3,zissou,competit,feel,nativ,mustread,financi,satoshi,scale,climb,clientbest
iter5_cv_split4,abc,financi,gimmick,hater,hepat,hodler,holder,human,igni,insuffer
iter5_cv_split5,abc,gimmick,hater,high,hodler,holder,hors,human,igni,import
iter6_cv_split1,slow,segwit,censorship,school,scheme,financi,scam,segwitx,satoshi,rope
iter6_cv_split2,abc,everi,fantast,feel,financi,hepat,high,hodler,holder,home
iter6_cv_split3,abc,follow,gimmick,hater,hepat,holder,hors,igni,itq,know
iter6_cv_split4,abc,gimmick,hater,hepat,hodler,hors,human,igni,import,insuffer
iter6_cv_split5,abc,gimmick,hater,hodler,holder,human,igni,import,insuffer,integr
iter7_cv_split1,zissou,couldn,satoshi,creat,credibl,credit,critic,sat,scale,cure
iter7_cv_split2,abc,goe,hater,hepat,holder,hors,human,igni,import,integr
iter7_cv_split3,abc,feel,financi,gimmick,hepat,high,hodler,home,hors,human
iter7_cv_split4,abc,financi,fork,gimmick,hater,hepat,hodler,holder,igni,import
iter7_cv_split5,abc,core,rope,couldn,creat,credit,crisi,critic,convinc,ripplem
iter8_cv_split1,abc,hater,hepat,hodler,holder,hors,human,igni,insuffer,integr
iter8_cv_split2,abc,dos,enhanc,everi,fantast,fork,hater,hepat,high,hodler
iter8_cv_split3,layer,financi,gimmick,hater,hodler,holder,hors,human,igni,import
iter8_cv_split4,abc,fantast,feel,financi,friend,gimmick,hepat,hodler,hors,human
iter8_cv_split5,abc,convinc,core,creat,credibl,crisi,critic,cure,scheme,rope
iter9_cv_split1,abc,dos,enhanc,everi,fantast,feel,financi,fork,hepat,hodler
iter9_cv_split2,abc,fantast,form,gimmick,goe,hater,hepat,hodler,holder,home
iter9_cv_split3,itq,concept,scale,competit,scheme,nativ,segwit,climb,segwitx,sens
iter9_cv_split4,abc,hater,hepat,holder,hors,human,igni,import,integr,interest
iter9_cv_split5,abc,gimmick,hater,hepat,high,hodler,hors,human,igni,import
iter10_cv_split1,abc,everi,fantast,feel,gimmick,goe,hater,hepat,hodler,holder
iter10_cv_split2,abc,fantast,financi,gimmick,hepat,hodler,holder,hors,human,igni
iter10_cv_split3,abc,couldn,rope,creat,credibl,credit,crisi,critic,convinc,cure
iter10_cv_split4,abc,financi,follow,hater,hepat,holder,home,hors,human,igni
iter10_cv_split5,layer,financi,gimmick,hater,high,hodler,hors,human,igni,import
iter11_cv_split1,abc,enhanc,everi,fantast,feel,friend,hepat,hodler,holder,dos
iter11_cv_split2,zissou,noth,concept,competit,compar,rope,financi,nd,nativ,climb
iter11_cv_split3,abc,gimmick,goe,hater,hepat,holder,hors,human,import,financi
iter11_cv_split4,abc,fantast,feel,financi,gimmick,hater,hepat,high,hodler,hors
iter11_cv_split5,abc,financi,gimmick,hater,hodler,holder,hors,human,igni,import
iter12_cv_split1,abc,gimmick,hater,hepat,hodler,holder,home,hors,igni,import
iter12_cv_split2,abc,financi,gimmick,hater,hodler,hors,human,igni,import,insuffer
iter12_cv_split3,zissou,rope,couldn,creat,credibl,credit,crisi,cure,core,ripplem
iter12_cv_split4,abc,gimmick,hater,hepat,high,holder,hors,human,igni,integr
iter12_cv_split5,abc,satoshi,convinc,core,couldn,rope,credibl,credit,scale,crisi
iter13_cv_split1,abc,financi,gimmick,hater,hepat,hodler,hors,human,igni,import
iter13_cv_split2,abc,dos,enhanc,everi,fantast,feel,financi,friend,hepat,hodler
iter13_cv_split3,zissou,convinc,confus,gimmick,scheme,concept,compar,school,goe,nd
iter13_cv_split4,abc,hater,hepat,hodler,holder,hors,igni,insuffer,integr,interest
iter13_cv_split5,abc,feel,rope,mustread,financi,sat,satoshi,climb,scheme,school
iter14_cv_split1,abc,gimmick,goe,hater,hepat,hodler,holder,hors,igni,import
iter14_cv_split2,abc,confus,convinc,core,satoshi,creat,critic,rope,cycl,damn
iter14_cv_split3,zissou,credit,crisi,critic,revolutionarybch,cure,remind,cycl,damn,integr
iter14_cv_split4,abc,gimmick,hater,hepat,hodler,holder,hors,human,igni,import
iter14_cv_split5,abc,fantast,feel,financi,hater,hepat,hodler,holder,hors,human
iter15_cv_split1,zissou,couldn,credibl,credit,crisi,critic,ripplem,cure,cycl,integr
iter15_cv_split2,abc,hater,hodler,holder,hors,human,igni,import,insuffer,integr
iter15_cv_split3,abc,fantast,feel,financi,gimmick,goe,hepat,hodler,hors,human
