,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,abc,cure,current,school,scheme,damn,dark,critical,decentralization,denial
iter1_cv_split2,layer,gimmicks,gives,haters,hodlers,hope,horse,horses,humanity,ignis
iter1_cv_split3,abc,guys,haters,hepatitis,hodlers,holders,horse,horses,ignis,important
iter1_cv_split4,abc,hepatitis,high,hodlers,holders,home,hope,horse,horses,humanity
iter1_cv_split5,abc,friend,gimmicks,haters,hepatitis,hodlers,holders,hope,humanity,ignis
iter2_cv_split1,abc,onchain,censorship,damn,darling,sat,canceled,calm,source,itq
iter2_cv_split2,abc,gives,haters,hepatitis,hodlers,holders,hope,horse,horses,humanity
iter2_cv_split3,abc,financial,follow,friend,gimmicks,hepatitis,hodlers,holders,home,hope
iter2_cv_split4,zissou,compared,competitions,concept,confidential,onchain,smarter,confuse,slow,convince
iter2_cv_split5,abc,high,hope,horse,horses,humanity,ignis,important,integral,interesting
iter3_cv_split1,zissou,cycles,segwitx,damn,segwit,dark,darling,decemberas,selling,denial
iter3_cv_split2,abc,follow,friend,gimmicks,hepatitis,hodlers,holders,hope,horse,horses
iter3_cv_split3,abc,formed,gimmicks,haters,hodlers,hope,horse,horses,humanity,important
iter3_cv_split4,abc,haters,hepatitis,hodlers,holders,hope,horse,horses,humanity,ignis
iter3_cv_split5,abc,follow,friend,gimmicks,haters,hepatitis,high,hodlers,holders,horse
iter4_cv_split1,abc,gimmicks,goes,haters,holders,horse,horses,ignis,integral,interesting
iter4_cv_split2,abc,critical,scale,cure,current,satoshi,damn,dark,crisis,rope
iter4_cv_split3,zissou,smarter,slow,owners,compared,competitions,concept,confidential,shouted,paradigm
iter4_cv_split4,abc,gimmicks,haters,hepatitis,hodlers,holders,hope,humanity,ignis,important
iter4_cv_split5,abc,hodlers,holders,home,hope,horse,horses,humanity,ignis,important
iter5_cv_split1,abc,enhancing,fantastic,feeling,friend,hepatitis,hodlers,holders,horse,horses
iter5_cv_split2,abc,school,cure,current,scheme,cycles,scam,damn,scaling,dark
iter5_cv_split3,layer,gimmicks,haters,hepatitis,hodlers,holders,hope,horse,horses,humanity
iter5_cv_split4,abc,gimmicks,haters,hepatitis,hodlers,holders,hope,humanity,ignis,insufferably
iter5_cv_split5,abc,haters,high,hodlers,holders,hope,horse,horses,humanity,ignis
iter6_cv_split1,sockpuppets,forks,sense,compared,competitions,concept,confidential,segwitx,segwit,confuse
iter6_cv_split2,abc,feeling,financial,follow,formed,hepatitis,high,hodlers,holders,home
iter6_cv_split3,abc,gimmicks,gives,haters,hepatitis,holders,horse,horses,ignis,investors
iter6_cv_split4,abc,haters,hepatitis,hodlers,hope,horse,horses,humanity,ignis,important
iter6_cv_split5,abc,hodlers,holders,hope,humanity,ignis,important,insufferably,integral,interesting
iter7_cv_split1,zissou,current,cycles,sense,damn,dark,darling,segwitx,segwit,decemberas
iter7_cv_split2,abc,gimmicks,gives,goes,haters,hepatitis,holders,hope,horse,horses
iter7_cv_split3,abc,gimmicks,hepatitis,high,hodlers,home,hope,horse,horses,humanity
iter7_cv_split4,abc,forks,formed,friend,gimmicks,haters,hepatitis,hodlers,holders,ignis
iter7_cv_split5,abc,sense,segwitx,segwit,numero,compared,competitions,shitcoin,concept,friend
iter8_cv_split1,abc,haters,hepatitis,hodlers,holders,hope,horse,horses,humanity,ignis
iter8_cv_split2,abc,forks,friend,haters,hepatitis,high,hodlers,holders,home,hope
iter8_cv_split3,laughingly,gimmicks,haters,hodlers,holders,hope,horse,horses,humanity,ignis
iter8_cv_split4,abc,feeling,financial,follow,friend,gimmicks,hepatitis,hodlers,hope,horse
iter8_cv_split5,abc,friend,gimmicks,haters,hepatitis,holders,horse,horses,important,integral
iter9_cv_split1,abc,enhancing,fantastic,feeling,financial,follow,forks,friend,hepatitis,hodlers
iter9_cv_split2,abc,friend,gimmicks,goes,haters,hepatitis,hodlers,holders,home,horse
iter9_cv_split3,itq,mustread,friend,native,shouted,shorting,shitcoin,climbing,competitions,confidential
iter9_cv_split4,abc,hepatitis,holders,hope,horse,horses,humanity,ignis,important,integral
iter9_cv_split5,abc,haters,hepatitis,high,hodlers,hope,horse,horses,humanity,ignis
iter10_cv_split1,abc,gimmicks,goes,haters,hepatitis,hodlers,holders,hope,humanity,ignis
iter10_cv_split2,abc,gimmicks,hepatitis,hodlers,holders,hope,horse,horses,humanity,ignis
iter10_cv_split3,abc,credible,credits,crisis,critical,cure,current,scheme,cycles,created
iter10_cv_split4,abc,haters,hepatitis,holders,home,hope,horse,horses,humanity,ignis
iter10_cv_split5,zissou,butbut,rope,derogetories,depot,follow,paypal,people,canceled,payment
iter11_cv_split1,abc,feeling,friend,hepatitis,hodlers,holders,hope,horse,horses,fantastic
iter11_cv_split2,zissou,shitcoin,friend,sense,formed,segwitx,compared,competitions,concept,segwit
iter11_cv_split3,abc,goes,haters,hepatitis,holders,hope,horse,horses,humanity,important
iter11_cv_split4,abc,follow,friend,gimmicks,gives,haters,hepatitis,high,hodlers,hope
iter11_cv_split5,abc,holders,hope,horse,horses,humanity,ignis,important,insufferably,integral
iter12_cv_split1,abc,gimmicks,haters,hepatitis,hodlers,holders,home,horse,horses,ignis
iter12_cv_split2,abc,gives,haters,hodlers,hope,horse,horses,humanity,ignis,important
iter12_cv_split3,laughingly,gimmicks,goes,hepatitis,hodlers,holders,hope,horse,horses,humanity
iter12_cv_split4,abc,hepatitis,high,holders,hope,horse,horses,humanity,ignis,integral
iter12_cv_split5,abc,couldn,sense,core,convince,confidential,concept,competitions,compared,shitcoin
iter13_cv_split1,abc,gives,haters,hepatitis,hodlers,hope,horse,horses,humanity,ignis
iter13_cv_split2,abc,dos,enhancing,fantastic,feeling,financial,follow,friend,hepatitis,hodlers
iter13_cv_split3,zissou,climbing,clientbest,school,dev,scheme,nd,mustread,people,scaling
iter13_cv_split4,abc,gimmicks,haters,hepatitis,hodlers,holders,horse,horses,ignis,insufferably
iter13_cv_split5,abc,couldn,rope,created,credible,credits,crisis,critical,cure,core
iter14_cv_split1,abc,goes,haters,hepatitis,hodlers,holders,horse,horses,ignis,important
iter14_cv_split2,abc,segwit,current,cycles,damn,dark,darling,school,segwitx,scheme
iter14_cv_split3,zissou,cure,current,cycles,damn,dark,darling,satoshi,decemberas,itq
iter14_cv_split4,abc,haters,hepatitis,hodlers,holders,hope,horse,horses,humanity,ignis
iter14_cv_split5,abc,formed,friend,haters,hepatitis,hodlers,holders,hope,horse,horses
iter15_cv_split1,zissou,core,convince,confidential,friend,concept,competitions,compared,shitcoin,official
iter15_cv_split2,abc,hodlers,holders,hope,horse,horses,humanity,ignis,important,insufferably
iter15_cv_split3,abc,shouted,shitcoin,climbing,sense,friend,scheme,gimmicks,money,competitions
iter15_cv_split4,abc,haters,hepatitis,holders,horse,horses,ignis,important,integral,interesting
iter15_cv_split5,abc,haters,hepatitis,hodlers,holders,hope,horse,horses,humanity,ignis
iter16_cv_split1,abc,goes,haters,hepatitis,hodlers,holders,hope,horse,horses,humanity
iter16_cv_split2,abc,haters,hepatitis,hodlers,holders,horse,horses,ignis,important,insufferably
iter16_cv_split3,let,high,holders,hope,horse,horses,humanity,ignis,important,integral
iter16_cv_split4,abc,couldn,credible,credits,crisis,critical,rippleme,cure,current,rope
iter16_cv_split5,abc,haters,hepatitis,hodlers,hope,horse,horses,humanity,ignis,important
iter17_cv_split1,zissou,numero,compared,competitions,nxt,concept,friend,shitcoin,confidential,confuse
iter17_cv_split2,abc,scheme,created,critical,scaling,current,cycles,satoshi,school,damn
iter17_cv_split3,abc,forks,friend,haters,hepatitis,hodlers,hope,horse,horses,humanity
iter17_cv_split4,abc,hodlers,holders,hope,horse,horses,humanity,ignis,important,insufferably
iter17_cv_split5,abc,gimmicks,gives,haters,hepatitis,hodlers,holders,hope,humanity,ignis
iter18_cv_split1,abc,haters,hepatitis,holders,home,hope,humanity,ignis,important,integral
iter18_cv_split2,abc,couldn,onchain,core,confuse,shitcoin,competitions,compared,numero,shouted
iter18_cv_split3,abc,financial,follow,friend,gimmicks,gives,high,hodlers,hope,horse
iter18_cv_split4,abc,hepatitis,hodlers,holders,horse,horses,ignis,important,insufferably,integral
iter18_cv_split5,zissou,started,derogetories,paradigm,haters,butbut,depot,bubble,denial,follow
