,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,probabl,instabuy,chase,mode,soon,level,ltc,develop,technic,min
iter1_cv_split2,probabl,chase,instabuy,look,level,zone,undervalu,doubl,perspect,trigger
iter1_cv_split3,probabl,air,instabuy,ltc,track,look,doubl,mode,perspect,uptrend
iter1_cv_split4,perspect,uptrend,chase,prepar,soon,ltc,look,matter,air,right
iter1_cv_split5,soon,probabl,chase,instabuy,triangl,perspect,level,look,mode,ltc
iter2_cv_split1,uptrend,chase,instabuy,mode,spike,soon,opinion,sudden,perspect,look
iter2_cv_split2,perspect,probabl,ltc,instabuy,level,soon,look,develop,min,air
iter2_cv_split3,start,chase,instabuy,soon,level,probabl,uptrend,ltc,great,look
iter2_cv_split4,doubl,perspect,chase,instabuy,probabl,undervalu,way,ltc,sudden,track
iter2_cv_split5,probabl,level,mode,chase,doubl,eth,track,technic,soon,ltc
iter3_cv_split1,probabl,sudden,chase,perspect,zone,min,look,develop,ltc,mode
iter3_cv_split2,perspect,probabl,chase,soon,instabuy,technic,ltc,matter,uptrend,doubl
iter3_cv_split3,uptrend,probabl,prepar,look,perspect,instabuy,doubl,air,level,min
iter3_cv_split4,perspect,chase,zone,instabuy,ltc,correct,quick,breakout,uptrend,right
iter3_cv_split5,probabl,look,chase,mode,instabuy,doubl,level,prepar,trigger,technic
iter4_cv_split1,chase,instabuy,zone,perspect,uptrend,level,doubl,ltc,mode,matter
iter4_cv_split2,perspect,probabl,chase,look,uptrend,level,bull,ltc,soon,doubl
iter4_cv_split3,probabl,doubl,perspect,chase,mode,instabuy,uptrend,level,soon,great
iter4_cv_split4,probabl,prepar,ltc,instabuy,look,min,level,air,spike,track
iter4_cv_split5,probabl,right,chase,instabuy,ltc,doubl,look,mode,matter,soon
iter5_cv_split1,uptrend,doubl,probabl,perspect,instabuy,ltc,chase,look,upsid,ride
iter5_cv_split2,probabl,soon,right,look,ltc,mode,level,develop,prepar,matter
iter5_cv_split3,perspect,chase,uptrend,instabuy,mode,probabl,zone,doubl,level,ltc
iter5_cv_split4,doubl,perspect,probabl,instabuy,chase,air,level,opinion,good,look
iter5_cv_split5,matter,instabuy,chase,perspect,soon,mode,level,air,zone,opinion
