,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,look,soon,trigger,breakout,bull,level,develop,doubl,attempt,revers
iter1_cv_split2,upsid,soon,technic,min,trigger,look,way,level,uptrend,revers
iter1_cv_split3,trigger,develop,bull,higher,look,doubl,upsid,technic,start,level
iter1_cv_split4,trigger,soon,way,develop,uptrend,doubl,look,min,prepar,break
iter1_cv_split5,look,trigger,readi,level,uptrend,technic,soon,prime,min,doubl
iter2_cv_split1,trigger,look,develop,uptrend,technic,upsid,great,doubl,way,end
iter2_cv_split2,trigger,look,soon,doubl,way,correct,uptrend,break,upsid,breakout
iter2_cv_split3,level,trigger,develop,upsid,breakout,way,soon,technic,break,doubl
iter2_cv_split4,look,prepar,level,upsid,way,min,develop,trigger,soon,revers
iter2_cv_split5,look,trigger,soon,uptrend,min,readi,start,breakout,break,opinion
iter3_cv_split1,breakout,look,min,technic,trigger,soon,break,way,readi,uptrend
iter3_cv_split2,trigger,bull,look,level,soon,uptrend,develop,prepar,doubl,way
iter3_cv_split3,trigger,look,doubl,soon,level,higher,opinion,revers,uptrend,upsid
iter3_cv_split4,look,upsid,develop,trigger,doubl,min,technic,higher,soon,prime
iter3_cv_split5,trigger,level,look,technic,uptrend,end,soon,like,min,bull
iter4_cv_split1,trigger,soon,look,level,uptrend,doubl,upsid,way,bull,break
iter4_cv_split2,level,look,trigger,bull,soon,technic,develop,doubl,uptrend,min
iter4_cv_split3,breakout,look,trigger,technic,doubl,min,upsid,develop,uptrend,break
iter4_cv_split4,look,trigger,develop,upsid,prepar,soon,breakout,confirm,level,prime
iter4_cv_split5,soon,look,readi,develop,technic,way,min,trigger,revers,break
iter5_cv_split1,look,level,break,technic,way,trigger,breakout,uptrend,revers,doubl
iter5_cv_split2,look,soon,breakout,trigger,doubl,min,higher,uptrend,prime,revers
iter5_cv_split3,look,readi,upsid,trigger,uptrend,rise,start,technic,way,develop
iter5_cv_split4,level,look,trigger,soon,way,alt,good,min,breakout,develop
iter5_cv_split5,trigger,look,confirm,soon,develop,level,upsid,break,great,opinion
iter6_cv_split1,trigger,uptrend,develop,look,bull,way,usd,soon,level,upsid
iter6_cv_split2,trigger,look,doubl,technic,bull,breakout,upsid,bullish,readi,min
iter6_cv_split3,look,trigger,breakout,level,min,upsid,uptrend,revers,way,readi
iter6_cv_split4,look,trigger,soon,doubl,develop,technic,level,triangl,entri,way
iter6_cv_split5,soon,breakout,trigger,look,anoth,technic,min,doubl,develop,readi
iter7_cv_split1,look,trigger,breakout,soon,level,technic,revers,doubl,bull,readi
iter7_cv_split2,look,readi,upsid,soon,develop,level,trigger,revers,prepar,prime
iter7_cv_split3,trigger,look,higher,soon,uptrend,min,good,develop,opinion,technic
iter7_cv_split4,break,upsid,develop,prepar,doubl,bull,technic,min,uptrend,trigger
iter7_cv_split5,trigger,look,soon,level,uptrend,way,upsid,doubl,min,prime
iter8_cv_split1,trigger,level,uptrend,develop,look,soon,breakout,upsid,technic,break
iter8_cv_split2,level,develop,look,trigger,upsid,technic,min,break,way,doubl
iter8_cv_split3,breakout,look,trigger,soon,revers,uptrend,readi,doubl,way,bull
iter8_cv_split4,trigger,look,usd,uptrend,soon,breakout,great,doubl,break,prime
iter8_cv_split5,look,soon,way,trigger,doubl,min,higher,prepar,develop,revers
iter9_cv_split1,trigger,look,readi,soon,level,technic,develop,min,entri,prime
iter9_cv_split2,trigger,break,look,bullish,doubl,level,soon,confirm,prepar,way
iter9_cv_split3,soon,look,trigger,breakout,upsid,higher,uptrend,readi,prime,way
iter9_cv_split4,trigger,look,develop,level,technic,uptrend,way,revers,breakout,soon
iter9_cv_split5,look,doubl,trigger,develop,good,way,breakout,min,break,readi
iter10_cv_split1,look,trigger,doubl,level,develop,technic,upsid,anoth,min,way
iter10_cv_split2,trigger,look,breakout,uptrend,min,soon,develop,level,bull,doubl
