,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,view,preceed,similiar,brutal,ain,lower,crash,liquid,major,channel
iter1_cv_split2,brutal,ain,view,rebound,crash,lower,major,trend,dow,mind
iter1_cv_split3,ain,brutal,liquid,similiar,preceed,rebound,fractal,crash,point,potenti
iter1_cv_split4,view,similiar,preceed,rebound,lower,crash,current,channel,liquid,sit
iter1_cv_split5,view,brutal,ain,preceed,similiar,liquid,rebound,drop,crash,major
iter2_cv_split1,major,view,lower,preceed,similiar,rebound,crash,success,fractal,mind
iter2_cv_split2,ain,brutal,liquid,similiar,preceed,lower,crash,potenti,bofa,friday
iter2_cv_split3,ain,brutal,view,crash,major,liquid,rebound,lower,current,mind
iter2_cv_split4,view,crash,similiar,preceed,lower,brutal,ain,rebound,liquid,potenti
iter2_cv_split5,brutal,ain,view,crash,rebound,liquid,similiar,preceed,eventu,add
iter3_cv_split1,view,preceed,similiar,lower,rebound,liquid,trend,channel,mind,sit
iter3_cv_split2,view,similiar,preceed,crash,ain,lower,major,drop,unsatisfi,outcom
iter3_cv_split3,ain,brutal,major,view,rebound,lower,liquid,crash,current,mind
iter3_cv_split4,view,ain,brutal,similiar,preceed,liquid,crash,rebound,outcom,unsatisfi
iter3_cv_split5,ain,brutal,lower,rebound,similiar,preceed,crash,potenti,channel,current
iter4_cv_split1,view,lower,preceed,similiar,ain,brutal,major,channel,liquid,potenti
iter4_cv_split2,rebound,liquid,crash,mind,lower,potenti,sit,think,add,bofa
iter4_cv_split3,view,similiar,preceed,ain,brutal,lower,liquid,crash,rebound,trend
iter4_cv_split4,rebound,brutal,ain,major,crash,current,fractal,potenti,mind,lower
iter4_cv_split5,view,ain,brutal,crash,preceed,similiar,rebound,liquid,drop,add
iter5_cv_split1,view,similiar,preceed,crash,lower,liquid,rebound,potenti,major,trend
iter5_cv_split2,view,similiar,preceed,lower,brutal,ain,rebound,major,crash,liquid
iter5_cv_split3,brutal,ain,view,major,instead,drop,lower,bought,think,eventu
iter5_cv_split4,rebound,similiar,preceed,ain,brutal,crash,channel,liquid,potenti,lower
iter5_cv_split5,ain,brutal,crash,major,view,liquid,rebound,current,mind,sit
iter6_cv_split1,ain,brutal,rebound,similiar,preceed,crash,liquid,lower,potenti,channel
iter6_cv_split2,view,similiar,preceed,lower,ain,brutal,channel,rebound,mind,major
iter6_cv_split3,ain,brutal,crash,rebound,major,view,liquid,unsatisfi,outcom,eventu
iter6_cv_split4,view,ain,brutal,similiar,preceed,liquid,crash,major,lower,think
iter6_cv_split5,view,lower,preceed,similiar,rebound,liquid,mind,potenti,channel,add
iter7_cv_split1,view,similiar,preceed,liquid,crash,current,unsatisfi,outcom,eventu,immin
iter7_cv_split2,brutal,ain,major,crash,lower,liquid,rebound,potenti,mind,sit
iter7_cv_split3,rebound,lower,ain,similiar,preceed,mind,potenti,crash,sit,eventu
iter7_cv_split4,view,similiar,preceed,ain,brutal,lower,crash,major,rebound,liquid
iter7_cv_split5,view,similiar,preceed,brutal,ain,lower,rebound,channel,liquid,potenti
iter8_cv_split1,brutal,ain,major,view,lower,crash,liquid,right,channel,drop
iter8_cv_split2,rebound,brutal,ain,similiar,preceed,lower,potenti,pattern,unsatisfi,outcom
iter8_cv_split3,view,similiar,preceed,lower,ain,brutal,liquid,major,crash,channel
iter8_cv_split4,view,ain,brutal,preceed,similiar,rebound,liquid,crash,eventu,outcom
iter8_cv_split5,view,preceed,similiar,rebound,crash,lower,major,potenti,liquid,channel
iter9_cv_split1,view,preceed,similiar,ain,brutal,lower,crash,liquid,channel,current
iter9_cv_split2,ain,brutal,view,crash,rebound,preceed,similiar,liquid,drop,trend
iter9_cv_split3,rebound,lower,similiar,preceed,crash,potenti,mind,point,sit,unsatisfi
iter9_cv_split4,major,view,crash,ain,brutal,liquid,rebound,lower,hold,potenti
iter9_cv_split5,view,similiar,preceed,brutal,ain,lower,rebound,liquid,channel,current
iter10_cv_split1,ain,brutal,crash,similiar,preceed,lower,liquid,rebound,potenti,fractal
iter10_cv_split2,view,similiar,preceed,crash,brutal,ain,lower,major,potenti,mind
iter10_cv_split3,view,similiar,preceed,crash,rebound,instead,major,lower,right,liquid
iter10_cv_split4,brutal,ain,major,lower,rebound,liquid,hold,channel,potenti,drop
iter10_cv_split5,view,ain,brutal,preceed,similiar,rebound,liquid,drop,major,crash
iter11_cv_split1,ain,brutal,view,crash,lower,major,liquid,current,mind,rebound
iter11_cv_split2,ain,brutal,liquid,rebound,crash,major,trend,bought,point,bofa
iter11_cv_split3,crash,similiar,preceed,rebound,hold,liquid,right,potenti,unsatisfi,eventu
iter11_cv_split4,view,similiar,preceed,brutal,ain,rebound,lower,crash,channel,major
iter11_cv_split5,view,similiar,preceed,ain,brutal,lower,liquid,drop,major,potenti
iter12_cv_split1,view,ain,brutal,crash,similiar,preceed,liquid,hold,major,current
iter12_cv_split2,view,preceed,similiar,brutal,ain,lower,liquid,channel,major,right
iter12_cv_split3,ain,brutal,similiar,preceed,lower,liquid,potenti,rebound,crash,drop
iter12_cv_split4,crash,view,rebound,lower,major,liquid,trend,potenti,mind,current
iter12_cv_split5,view,rebound,ain,brutal,preceed,similiar,lower,drop,current,crash
iter13_cv_split1,ain,brutal,crash,liquid,lower,rebound,current,mind,success,sit
iter13_cv_split2,view,ain,brutal,similiar,preceed,liquid,crash,major,friday,bofa
iter13_cv_split3,major,view,lower,rebound,similiar,preceed,liquid,potenti,drop,fractal
iter13_cv_split4,view,similiar,preceed,ain,brutal,rebound,lower,crash,channel,major
iter13_cv_split5,view,similiar,preceed,ain,brutal,lower,rebound,major,liquid,channel
iter14_cv_split1,ain,brutal,crash,view,liquid,major,mind,eventu,unsatisfi,outcom
iter14_cv_split2,ain,brutal,crash,similiar,preceed,lower,liquid,rebound,potenti,hold
iter14_cv_split3,view,rebound,similiar,preceed,major,current,lower,mind,sit,think
iter14_cv_split4,view,similiar,preceed,brutal,ain,lower,liquid,rebound,current,major
iter14_cv_split5,major,view,brutal,ain,lower,preceed,similiar,crash,rebound,potenti
iter15_cv_split1,preceed,similiar,liquid,lower,hold,rebound,crash,stop,channel,potenti
iter15_cv_split2,view,similiar,preceed,brutal,ain,lower,liquid,potenti,major,crash
iter15_cv_split3,view,major,rebound,instead,lower,success,mind,sit,drop,brace
iter15_cv_split4,major,view,ain,brutal,lower,preceed,similiar,rebound,crash,channel
iter15_cv_split5,view,ain,brutal,crash,rebound,preceed,similiar,liquid,drop,current
iter16_cv_split1,view,preceed,similiar,lower,ain,brutal,rebound,current,liquid,major
iter16_cv_split2,ain,brutal,rebound,major,crash,liquid,view,preceed,similiar,lower
iter16_cv_split3,crash,similiar,preceed,lower,liquid,right,potenti,unsatisfi,outcom,eventu
iter16_cv_split4,view,brutal,ain,leg,rebound,similiar,preceed,liquid,current,mind
iter16_cv_split5,brutal,ain,view,rebound,major,lower,drop,success,crash,mind
iter17_cv_split1,brutal,ain,view,liquid,lower,major,dow,potenti,vix,trend
