,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,crash,ain,brutal,rebound,leg,view,lower,instead,dow,major
iter1_cv_split2,crash,leg,lower,brutal,ain,major,instead,rebound,view,liquid
iter1_cv_split3,crash,leg,ain,brutal,instead,lower,rebound,current,view,mistak
iter1_cv_split4,crash,brutal,ain,view,leg,lower,rebound,instead,similiar,preceed
iter1_cv_split5,crash,brutal,ain,leg,rebound,instead,preceed,similiar,dow,lower
iter2_cv_split1,crash,brutal,ain,leg,instead,rebound,lower,current,liquid,similiar
iter2_cv_split2,crash,leg,view,instead,rebound,brutal,ain,preceed,similiar,lower
iter2_cv_split3,crash,brutal,ain,lower,leg,view,rebound,dow,hold,preceed
iter2_cv_split4,crash,ain,brutal,leg,rebound,lower,instead,view,similiar,preceed
iter2_cv_split5,crash,rebound,ain,brutal,leg,major,instead,view,liquid,mistak
iter3_cv_split1,crash,ain,brutal,view,rebound,leg,instead,lower,major,dow
iter3_cv_split2,crash,ain,brutal,leg,major,rebound,instead,dow,view,lower
iter3_cv_split3,crash,leg,lower,rebound,brutal,ain,current,instead,similiar,preceed
iter3_cv_split4,crash,lower,brutal,ain,leg,rebound,instead,dow,preceed,similiar
iter3_cv_split5,crash,leg,brutal,ain,view,instead,rebound,liquid,lower,dow
iter4_cv_split1,crash,leg,brutal,ain,lower,instead,rebound,liquid,dow,preceed
iter4_cv_split2,crash,rebound,brutal,ain,leg,lower,view,instead,liquid,dow
iter4_cv_split3,crash,ain,brutal,rebound,lower,instead,leg,preceed,similiar,view
iter4_cv_split4,crash,brutal,ain,leg,rebound,major,lower,instead,current,view
iter4_cv_split5,crash,leg,brutal,ain,view,instead,rebound,lower,dow,current
iter5_cv_split1,crash,leg,brutal,ain,rebound,lower,instead,preceed,similiar,view
iter5_cv_split2,crash,leg,brutal,ain,view,rebound,lower,liquid,instead,major
iter5_cv_split3,crash,leg,instead,ain,brutal,view,rebound,lower,mistak,dow
iter5_cv_split4,crash,lower,brutal,ain,instead,leg,current,view,rebound,dow
iter5_cv_split5,crash,ain,brutal,rebound,instead,leg,major,dow,lower,view
iter6_cv_split1,crash,rebound,brutal,ain,leg,instead,view,dow,lower,current
iter6_cv_split2,crash,leg,brutal,ain,lower,rebound,major,instead,dow,view
iter6_cv_split3,crash,brutal,ain,leg,lower,instead,rebound,current,view,similiar
iter6_cv_split4,crash,brutal,ain,instead,hold,lower,view,preceed,similiar,rebound
iter6_cv_split5,crash,leg,brutal,ain,lower,rebound,view,preceed,similiar,instead
iter7_cv_split1,crash,brutal,ain,leg,rebound,hold,instead,liquid,lower,dow
iter7_cv_split2,crash,rebound,ain,brutal,instead,leg,major,view,lower,dow
iter7_cv_split3,crash,leg,ain,brutal,lower,view,rebound,instead,mind,dow
iter7_cv_split4,crash,leg,lower,instead,brutal,ain,view,similiar,preceed,mistak
iter7_cv_split5,crash,brutal,ain,view,rebound,leg,lower,instead,major,preceed
iter8_cv_split1,crash,brutal,ain,instead,lower,leg,major,rebound,dow,view
iter8_cv_split2,crash,brutal,ain,leg,view,lower,instead,rebound,dow,similiar
iter8_cv_split3,crash,leg,brutal,ain,rebound,instead,view,lower,mistak,preceed
iter8_cv_split4,crash,leg,rebound,instead,lower,ain,brutal,current,liquid,view
iter8_cv_split5,crash,ain,brutal,leg,lower,rebound,view,instead,current,mind
iter9_cv_split1,crash,rebound,leg,brutal,ain,lower,instead,major,current,liquid
iter9_cv_split2,crash,leg,brutal,ain,view,rebound,instead,lower,similiar,preceed
iter9_cv_split3,crash,brutal,ain,leg,lower,instead,rebound,dow,potenti,liquid
iter9_cv_split4,crash,ain,brutal,leg,view,instead,lower,rebound,major,mistak
iter9_cv_split5,crash,leg,rebound,brutal,ain,view,lower,current,dow,similiar
iter10_cv_split1,crash,view,leg,lower,ain,brutal,instead,rebound,similiar,preceed
iter10_cv_split2,crash,brutal,ain,leg,lower,rebound,current,hold,instead,dow
iter10_cv_split3,crash,leg,brutal,ain,rebound,instead,liquid,preceed,similiar,dow
iter10_cv_split4,crash,leg,brutal,ain,lower,instead,major,rebound,view,dow
iter10_cv_split5,crash,brutal,ain,lower,rebound,leg,instead,view,current,liquid
iter11_cv_split1,crash,leg,brutal,ain,lower,rebound,view,instead,current,dow
