,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,alway,far,daili,bag,ethereum,real,fakeout,guess,peak,ath
iter1_cv_split2,ascend,sayin,quick,daili,goe,interest,avail,purpl,setup,stay
iter1_cv_split3,far,prior,daili,scenario,alway,surpass,revers,new,becom,goe
iter1_cv_split4,worth,come,prior,launch,goe,doesn,qwark,care,alt,peak
iter1_cv_split5,far,coin,touch,feel,start,worth,entri,bit,purpl,avail
iter2_cv_split1,worth,coin,far,investor,check,attent,launch,real,daili,price
iter2_cv_split2,usd,peak,worth,moon,pls,doesn,care,qwark,avail,sideway
iter2_cv_split3,far,goe,quick,new,alway,mani,purpl,boom,interest,setup
iter2_cv_split4,prior,coin,goe,launch,year,test,happend,hunt,suppli,worth
iter2_cv_split5,worth,stay,feel,alway,qwark,care,doesn,suppli,come,ethereum
iter3_cv_split1,worth,interest,scenario,prior,late,attent,setup,sayin,daili,qwark
iter3_cv_split2,worth,coin,ascend,perform,goe,like,feel,attent,touch,boom
iter3_cv_split3,stay,touch,prior,launch,usd,real,interest,avail,feel,purpl
iter3_cv_split4,far,daili,scenario,peak,doesn,shit,goe,entri,becom,crawl
iter3_cv_split5,worth,far,sideway,alway,care,doesn,qwark,bag,come,ath
iter4_cv_split1,come,ascend,price,worth,launch,prior,perform,stay,continu,like
iter4_cv_split2,worth,prior,daili,touch,attent,becom,feel,check,real,fakeout
iter4_cv_split3,far,goe,worth,alway,care,qwark,doesn,coin,launch,becom
iter4_cv_split4,bag,pls,feel,purpl,avail,ethereum,touch,peak,interest,money
iter4_cv_split5,worth,coin,guess,ethereum,interest,usd,crawl,touch,anoth,far
iter5_cv_split1,ascend,usd,peak,goe,purpl,interest,coin,billion,start,feel
iter5_cv_split2,prior,care,qwark,doesn,launch,ascend,stay,list,suppli,check
iter5_cv_split3,worth,far,alway,late,amp,quick,hunt,setup,price,mani
iter5_cv_split4,worth,scenario,usd,alway,sayin,feel,touch,coin,peak,purpl
iter5_cv_split5,worth,launch,goe,daili,prior,touch,avail,crawl,rent,job
iter6_cv_split1,worth,launch,ascend,perform,feel,avail,need,becom,sayin,goe
iter6_cv_split2,far,launch,usd,qwark,doesn,care,interest,touch,surpass,alway
iter6_cv_split3,worth,far,revers,peak,quick,ethereum,guess,candl,daili,mani
iter6_cv_split4,coin,new,like,billion,interest,usd,come,suppli,moon,ethereum
iter6_cv_split5,worth,alway,far,scenario,care,qwark,doesn,stay,real,prior
iter7_cv_split1,ascend,worth,launch,usd,interest,real,fakeout,job,rent,billion
iter7_cv_split2,far,worth,come,new,goe,launch,entri,bag,break,perform
iter7_cv_split3,avail,alway,worth,feel,coin,touch,sideway,stay,scenario,real
iter7_cv_split4,stay,alway,crawl,qwark,alt,doesn,care,purpl,investor,touch
iter7_cv_split5,worth,prior,goe,doesn,qwark,care,daili,becom,sit,line
iter8_cv_split1,worth,fli,coin,prior,goe,perform,far,purpl,billion,accur
iter8_cv_split2,launch,price,check,hit,touch,ethereum,guess,goe,ascend,crawl
iter8_cv_split3,daili,launch,alway,new,check,real,fakeout,feel,sit,becom
iter8_cv_split4,prior,alway,worth,real,fakeout,sideway,job,rent,doesn,care
iter8_cv_split5,mani,worth,scenario,amp,qwark,doesn,care,alway,touch,real
iter9_cv_split1,daili,alway,ascend,doesn,care,qwark,peak,scenario,sayin,upsid
iter9_cv_split2,worth,far,launch,touch,investor,prior,qwark,care,doesn,alway
iter9_cv_split3,worth,far,interest,sayin,prior,job,rent,suppli,come,usd
iter9_cv_split4,far,worth,usd,wait,peak,hit,daili,purpl,revers,entri
iter9_cv_split5,prior,launch,goe,alway,stay,attent,scenario,becom,new,purpl
iter10_cv_split1,daili,come,touch,purpl,goe,becom,need,quick,sit,sayin
iter10_cv_split2,worth,feel,daili,scenario,alway,avail,ethereum,way,guess,ascend
iter10_cv_split3,worth,come,launch,prior,suppli,doesn,qwark,care,sideway,coin
iter10_cv_split4,far,launch,worth,prior,suppli,touch,mani,goe,interest,fakeout
iter10_cv_split5,ascend,attent,investor,daili,interest,realli,goe,hunt,check,usd
iter11_cv_split1,coin,ascend,year,mani,increas,come,ethereum,stay,guess,job
iter11_cv_split2,worth,touch,coin,far,entri,investor,everybodi,purpl,come,bit
iter11_cv_split3,worth,perform,avail,feel,ascend,touch,usd,crawl,year,come
iter11_cv_split4,daili,alway,sayin,goe,ethereum,guess,worth,launch,touch,bag
iter11_cv_split5,check,far,launch,doesn,qwark,care,usd,alway,suppli,crawl
iter12_cv_split1,startin,far,worth,avail,goe,perform,touch,ascend,feel,scenario
iter12_cv_split2,alway,worth,start,touch,avail,goe,prior,ascend,purpl,feel
iter12_cv_split3,alway,worth,line,price,quick,becom,sit,daili,add,suppli
iter12_cv_split4,worth,stay,doesn,prior,qwark,care,usd,real,fakeout,becom
iter12_cv_split5,launch,far,come,goe,ethereum,guess,peak,suppli,purpl,touch
iter13_cv_split1,come,launch,far,qwark,alt,doesn,care,sideway,goe,roadmap
iter13_cv_split2,worth,alway,line,scenario,sideway,touch,doesn,qwark,care,ethereum
iter13_cv_split3,worth,prior,far,launch,touch,avail,new,feel,daili,sit
iter13_cv_split4,prior,worth,stay,goe,feel,scenario,quick,peak,like,coin
iter13_cv_split5,daili,alway,year,goe,launch,attent,suppli,ascend,sayin,becom
iter14_cv_split1,alway,prior,far,investor,touch,goe,peak,doesn,sideway,crawl
iter14_cv_split2,mani,ascend,worth,interest,touch,doesn,care,qwark,feel,launch
iter14_cv_split3,worth,coin,perform,launch,goe,continu,year,realli,midterm,crazi
iter14_cv_split4,worth,daili,becom,investor,interest,onli,avail,sit,ascend,usd
iter14_cv_split5,come,worth,coin,alway,far,attent,avail,care,doesn,qwark
iter15_cv_split1,far,touch,usd,becom,daili,goe,revers,qwark,care,doesn
iter15_cv_split2,worth,real,fakeout,launch,perform,interest,suppli,touch,daili,goe
iter15_cv_split3,prior,far,price,bag,purpl,new,worth,coin,goe,setup
iter15_cv_split4,ascend,come,worth,qwark,doesn,care,prior,sayin,launch,feel
iter15_cv_split5,amp,stay,worth,coin,launch,ethereum,guess,avail,feel,alway
iter16_cv_split1,touch,launch,bag,worth,mani,real,fakeout,purpl,alt,doesn
iter16_cv_split2,interest,mani,usd,way,amp,billion,setup,worth,launch,pumpin
iter16_cv_split3,prior,worth,attent,ascend,come,peak,becom,daili,sit,goe
iter16_cv_split4,come,daili,new,avail,attent,scenario,goe,check,alway,launch
iter16_cv_split5,worth,far,coin,purpl,usd,hunt,alway,prior,goe,crawl
iter17_cv_split1,worth,far,launch,avail,billion,moon,purpl,doesn,qwark,care
iter17_cv_split2,worth,goe,far,prior,ascend,come,investor,bag,start,price
iter17_cv_split3,far,alway,peak,price,interest,crawl,attent,touch,worth,ema
iter17_cv_split4,prior,feel,sayin,avail,touch,way,daili,becom,line,mani
iter17_cv_split5,usd,stay,care,doesn,qwark,alt,purpl,goe,hunt,peak
iter18_cv_split1,worth,alway,launch,daili,stay,avail,feel,goe,becom,purpl
iter18_cv_split2,far,ascend,daili,scenario,year,touch,doesn,becom,qwark,care
iter18_cv_split3,worth,bag,care,doesn,qwark,interest,prior,usd,suppli,fakeout
iter18_cv_split4,launch,coin,worth,purpl,goe,prior,investor,touch,usd,scenario
iter18_cv_split5,far,worth,come,avail,feel,mani,purpl,ascend,interest,climb
iter19_cv_split1,come,far,ethereum,alway,goe,attent,new,guess,purpl,launch
iter19_cv_split2,far,decemb,daili,line,hit,ethereum,touch,goe,billion,guess
iter19_cv_split3,prior,alway,worth,launch,qwark,care,doesn,touch,perform,scenario
iter19_cv_split4,worth,far,prior,avail,sideway,space,purpl,perform,feel,congrat
iter19_cv_split5,ascend,new,worth,purpl,start,interest,check,attent,qwark,care
iter20_cv_split1,far,come,launch,worth,goe,alway,real,fakeout,doesn,care
iter20_cv_split2,worth,scenario,daili,alway,usd,new,year,purpl,hit,ethereum
iter20_cv_split3,worth,amp,touch,feel,like,launch,coin,avail,investor,goe
iter20_cv_split4,far,attent,ascend,doesn,qwark,care,feel,pls,daili,touch
iter20_cv_split5,worth,prior,goe,usd,coin,mani,quick,interest,purpl,bit
iter21_cv_split1,far,ascend,goe,launch,come,investor,check,prior,job,rent
iter21_cv_split2,far,worth,year,launch,feel,avail,usd,amp,new,daili
iter21_cv_split3,worth,peak,interest,finish,check,avail,scenario,ticket,feel,fakeout
iter21_cv_split4,worth,daili,alway,launch,touch,purpl,year,real,fakeout,price
iter21_cv_split5,worth,coin,alway,usd,prior,feel,avail,touch,onli,revers
iter22_cv_split1,far,come,worth,feel,revers,amp,avail,touch,ascend,check
iter22_cv_split2,prior,scenario,ethereum,mani,guess,avail,target,like,interest,year
iter22_cv_split3,sideway,care,qwark,doesn,touch,stay,far,avail,purpl,feel
iter22_cv_split4,far,attent,come,coin,worth,perform,goe,job,rent,prior
