,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,view,preceed,similiar,lower,crash,rebound,instead,mind,dow,current
iter1_cv_split2,rebound,view,brutal,ain,preceed,similiar,mistak,current,major,outcom
iter1_cv_split3,rebound,crash,brutal,ain,view,liquid,major,current,dow,drop
iter1_cv_split4,brutal,ain,crash,lower,similiar,preceed,liquid,instead,mistak,drop
iter1_cv_split5,ain,brutal,view,major,rebound,lower,potenti,similiar,preceed,crash
iter2_cv_split1,crash,rebound,instead,liquid,lower,leg,drop,mind,dow,potenti
iter2_cv_split2,view,brutal,ain,similiar,preceed,rebound,instead,liquid,lower,current
iter2_cv_split3,view,lower,preceed,similiar,brutal,ain,instead,crash,think,mistak
iter2_cv_split4,view,brutal,ain,crash,liquid,similiar,preceed,mistak,rebound,leg
iter2_cv_split5,view,crash,preceed,similiar,brutal,ain,rebound,channel,liquid,lower
iter3_cv_split1,view,lower,similiar,preceed,ain,brutal,crash,rebound,channel,instead
iter3_cv_split2,brutal,ain,view,similiar,preceed,liquid,instead,crash,dow,drop
iter3_cv_split3,view,rebound,ain,brutal,similiar,preceed,liquid,current,crash,drop
iter3_cv_split4,crash,major,view,brutal,ain,lower,rebound,liquid,instead,leg
iter3_cv_split5,crash,lower,leg,rebound,preceed,similiar,mistak,dow,potenti,liquid
iter4_cv_split1,view,crash,liquid,preceed,similiar,instead,dow,major,mind,drop
iter4_cv_split2,rebound,brutal,ain,preceed,similiar,lower,liquid,instead,mistak,drop
iter4_cv_split3,view,crash,similiar,preceed,lower,brutal,ain,rebound,instead,current
iter4_cv_split4,brutal,ain,rebound,major,view,crash,lower,liquid,mistak,current
iter4_cv_split5,view,brutal,ain,lower,similiar,preceed,crash,rebound,major,channel
iter5_cv_split1,view,rebound,similiar,preceed,ain,brutal,crash,liquid,current,leg
iter5_cv_split2,view,lower,similiar,preceed,brutal,ain,crash,instead,dow,mistak
iter5_cv_split3,view,crash,brutal,ain,leg,similiar,preceed,liquid,instead,mistak
iter5_cv_split4,rebound,liquid,potenti,instead,mistak,crash,current,lower,drop,mind
iter5_cv_split5,view,brutal,ain,lower,rebound,preceed,similiar,crash,liquid,drop
iter6_cv_split1,view,preceed,similiar,rebound,brutal,ain,lower,leg,instead,major
iter6_cv_split2,rebound,crash,ain,brutal,lower,drop,current,potenti,dow,mind
iter6_cv_split3,crash,major,view,similiar,preceed,instead,liquid,mistak,dow,right
iter6_cv_split4,view,similiar,preceed,lower,ain,brutal,liquid,crash,leg,hold
iter6_cv_split5,view,rebound,ain,brutal,crash,preceed,similiar,liquid,instead,current
iter7_cv_split1,liquid,ain,brutal,hold,preceed,similiar,instead,crash,mistak,current
iter7_cv_split2,view,crash,brutal,ain,preceed,similiar,lower,rebound,mistak,liquid
iter7_cv_split3,view,preceed,similiar,lower,instead,current,mistak,dow,crash,major
iter7_cv_split4,brutal,ain,major,rebound,crash,liquid,view,lower,similiar,preceed
iter7_cv_split5,brutal,ain,rebound,crash,view,instead,major,lower,potenti,trend
iter8_cv_split1,major,view,ain,brutal,lower,crash,liquid,mistak,instead,current
iter8_cv_split2,view,lower,similiar,preceed,brutal,ain,crash,leg,liquid,current
iter8_cv_split3,view,rebound,ain,brutal,crash,preceed,similiar,mistak,drop,liquid
iter8_cv_split4,view,preceed,similiar,crash,rebound,brutal,ain,channel,lower,instead
iter8_cv_split5,rebound,liquid,preceed,similiar,instead,leg,mistak,current,crash,lower
iter9_cv_split1,view,preceed,similiar,lower,ain,brutal,liquid,instead,mistak,incom
iter9_cv_split2,view,ain,brutal,rebound,similiar,preceed,mistak,current,drop,crash
iter9_cv_split3,crash,leg,rebound,lower,instead,dow,current,mistak,mind,potenti
