,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,crash,lower,leg,instead,think,dow,current,mind,mistak,view
iter1_cv_split2,rebound,mistak,current,view,brutal,ain,drop,think,similiar,preceed
iter1_cv_split3,crash,rebound,drop,dow,think,current,ain,brutal,potenti,view
iter1_cv_split4,crash,lower,drop,instead,mistak,dow,brutal,ain,leg,trader
iter1_cv_split5,leg,potenti,lower,crash,instead,rebound,brutal,ain,view,major
iter2_cv_split1,crash,leg,lower,drop,instead,rebound,dow,mind,potenti,liquid
iter2_cv_split2,lower,leg,instead,dow,current,think,mistak,view,ain,brutal
iter2_cv_split3,lower,instead,crash,think,view,mistak,market,brutal,ain,current
iter2_cv_split4,crash,leg,drop,rebound,mistak,dow,ain,brutal,hold,view
iter2_cv_split5,crash,rebound,leg,current,ain,brutal,view,similiar,preceed,mind
iter3_cv_split1,crash,lower,drop,instead,current,view,dow,mistak,ain,brutal
iter3_cv_split2,instead,drop,dow,crash,brutal,ain,think,potenti,preceed,similiar
iter3_cv_split3,rebound,drop,leg,crash,current,think,ain,brutal,view,mind
iter3_cv_split4,crash,leg,lower,instead,rebound,mistak,major,current,potenti,brutal
iter3_cv_split5,leg,crash,lower,rebound,mistak,dow,drop,trader,current,potenti
iter4_cv_split1,crash,instead,drop,dow,think,view,mind,liquid,similiar,preceed
iter4_cv_split2,leg,rebound,lower,drop,instead,mistak,ain,brutal,current,trader
iter4_cv_split3,crash,lower,leg,instead,current,rebound,mistak,hold,view,similiar
iter4_cv_split4,crash,lower,rebound,dow,mistak,current,think,brutal,ain,major
iter4_cv_split5,crash,lower,drop,dow,ain,brutal,think,view,trader,leg
iter5_cv_split1,rebound,crash,leg,current,view,brutal,ain,trader,hold,similiar
iter5_cv_split2,lower,crash,instead,dow,mistak,brutal,ain,current,market,view
iter5_cv_split3,crash,leg,lower,instead,mistak,dow,view,brutal,ain,preceed
iter5_cv_split4,drop,potenti,rebound,lower,instead,leg,crash,think,mistak,current
iter5_cv_split5,crash,lower,rebound,drop,dow,think,ain,brutal,mind,view
iter6_cv_split1,lower,leg,rebound,instead,dow,current,drop,mistak,crash,view
iter6_cv_split2,crash,drop,lower,rebound,potenti,dow,think,current,brutal,ain
iter6_cv_split3,crash,instead,dow,mistak,think,major,market,view,preceed,similiar
iter6_cv_split4,lower,leg,crash,mind,ain,brutal,view,hold,preceed,similiar
iter6_cv_split5,crash,rebound,instead,lower,dow,mistak,current,brutal,ain,view
iter7_cv_split1,think,instead,drop,crash,mistak,hold,current,brutal,ain,mind
iter7_cv_split2,crash,lower,leg,mistak,rebound,potenti,view,ain,brutal,preceed
iter7_cv_split3,lower,instead,dow,current,mistak,crash,view,think,preceed,similiar
iter7_cv_split4,lower,leg,crash,rebound,dow,current,brutal,ain,major,view
iter7_cv_split5,crash,leg,instead,rebound,trend,drop,dow,potenti,think,ain
iter8_cv_split1,lower,crash,instead,mistak,current,major,brutal,ain,view,mind
iter8_cv_split2,lower,leg,crash,dow,rebound,current,view,trend,brutal,ain
iter8_cv_split3,crash,rebound,drop,mistak,dow,brutal,ain,current,view,think
iter8_cv_split4,crash,rebound,instead,dow,think,brutal,ain,similiar,preceed,trend
iter8_cv_split5,leg,rebound,instead,drop,lower,crash,mistak,think,current,potenti
iter9_cv_split1,lower,instead,drop,mistak,dow,point,crash,brutal,ain,trader
iter9_cv_split2,drop,lower,crash,mistak,think,current,ain,brutal,mind,view
iter9_cv_split3,crash,leg,lower,instead,rebound,dow,mistak,current,mind,potenti
iter9_cv_split4,leg,crash,rebound,dow,think,current,view,major,brutal,ain
iter9_cv_split5,crash,leg,instead,rebound,ain,brutal,potenti,view,similiar,preceed
iter10_cv_split1,crash,leg,rebound,potenti,mistak,think,drop,dow,current,brutal
iter10_cv_split2,instead,crash,mistak,view,current,leg,mind,major,liquid,altitud
iter10_cv_split3,lower,crash,rebound,hold,dow,think,ain,brutal,similiar,preceed
iter10_cv_split4,lower,rebound,instead,leg,dow,current,mistak,crash,major,ain
iter10_cv_split5,crash,lower,leg,drop,instead,mistak,dow,trader,ain,brutal
iter11_cv_split1,lower,leg,current,instead,rebound,mistak,hold,view,ain,brutal
iter11_cv_split2,crash,rebound,instead,drop,dow,brutal,ain,think,mind,view
iter11_cv_split3,crash,lower,think,mistak,dow,current,potenti,ain,brutal,mind
iter11_cv_split4,leg,crash,rebound,lower,dow,current,brutal,ain,major,mind
iter11_cv_split5,crash,leg,drop,instead,mistak,dow,view,think,trader,preceed
iter12_cv_split1,crash,lower,instead,rebound,view,mistak,potenti,brutal,ain,preceed
iter12_cv_split2,crash,rebound,leg,dow,think,mind,potenti,ain,brutal,similiar
iter12_cv_split3,drop,instead,current,mistak,leg,brutal,ain,view,altitud,similiar
iter12_cv_split4,crash,lower,rebound,leg,dow,current,major,think,ain,brutal
iter12_cv_split5,crash,lower,drop,instead,dow,mistak,hold,current,view,trader
iter13_cv_split1,crash,leg,lower,drop,dow,view,ain,brutal,preceed,similiar
iter13_cv_split2,lower,rebound,think,crash,current,mind,brutal,ain,view,similiar
iter13_cv_split3,crash,instead,dow,mistak,trend,current,drop,think,leg,view
iter13_cv_split4,crash,leg,lower,rebound,drop,instead,dow,mistak,potenti,brutal
iter13_cv_split5,lower,leg,crash,instead,rebound,mistak,current,ain,brutal,mind
iter14_cv_split1,lower,dow,instead,mistak,current,brutal,ain,think,trader,potenti
iter14_cv_split2,lower,leg,crash,instead,current,mistak,mind,view,brutal,ain
iter14_cv_split3,crash,rebound,instead,drop,dow,mistak,think,market,current,hold
iter14_cv_split4,crash,lower,drop,rebound,dow,ain,brutal,view,similiar,preceed
iter14_cv_split5,crash,leg,rebound,mistak,dow,current,drop,major,view,ain
iter15_cv_split1,lower,instead,dow,current,crash,mistak,think,mind,brutal,ain
iter15_cv_split2,crash,drop,lower,rebound,leg,instead,mistak,dow,ain,brutal
iter15_cv_split3,crash,rebound,instead,current,drop,major,mistak,dow,view,leg
iter15_cv_split4,crash,rebound,leg,trend,brutal,ain,view,preceed,similiar,potenti
iter15_cv_split5,drop,lower,crash,mistak,leg,brutal,ain,view,current,trader
iter16_cv_split1,crash,lower,leg,instead,rebound,potenti,mistak,current,brutal,ain
iter16_cv_split2,drop,instead,mistak,dow,crash,major,trader,think,brutal,ain
iter16_cv_split3,rebound,lower,drop,crash,current,preceed,similiar,view,leg,think
iter16_cv_split4,crash,leg,rebound,drop,dow,think,potenti,brutal,ain,view
iter16_cv_split5,lower,leg,crash,instead,dow,current,mistak,mind,ain,brutal
iter17_cv_split1,crash,lower,rebound,major,view,brutal,ain,potenti,preceed,similiar
iter17_cv_split2,crash,instead,drop,mistak,dow,current,think,mind,ain,brutal
iter17_cv_split3,crash,leg,rebound,drop,dow,brutal,ain,trader,view,trend
iter17_cv_split4,lower,crash,leg,rebound,instead,dow,mistak,drop,ain,brutal
iter17_cv_split5,drop,lower,instead,mistak,potenti,think,current,similiar,preceed,view
iter18_cv_split1,drop,leg,mistak,trader,dow,crash,brutal,ain,think,view
iter18_cv_split2,crash,leg,rebound,drop,potenti,dow,brutal,ain,current,major
iter18_cv_split3,rebound,lower,crash,instead,mistak,current,ain,brutal,mind,potenti
iter18_cv_split4,crash,lower,instead,think,dow,brutal,ain,liquid,view,preceed
iter18_cv_split5,crash,lower,leg,instead,rebound,drop,mistak,dow,current,potenti
iter19_cv_split1,crash,instead,mistak,brutal,ain,trader,view,leg,similiar,preceed
iter19_cv_split2,lower,rebound,mistak,think,current,ain,brutal,view,drop,mind
iter19_cv_split3,crash,leg,lower,rebound,current,drop,dow,view,potenti,similiar
iter19_cv_split4,crash,rebound,drop,instead,current,mistak,dow,brutal,ain,potenti
iter19_cv_split5,crash,lower,instead,leg,dow,brutal,ain,hold,mind,view
iter20_cv_split1,crash,rebound,instead,mistak,ain,brutal,view,current,mind,preceed
iter20_cv_split2,leg,lower,instead,trend,brutal,ain,preceed,similiar,drop,view
iter20_cv_split3,crash,lower,current,dow,major,brutal,ain,potenti,view,drop
iter20_cv_split4,lower,leg,instead,drop,dow,rebound,mistak,crash,current,view
iter20_cv_split5,crash,rebound,think,mistak,dow,potenti,drop,current,ain,brutal
iter21_cv_split1,crash,leg,instead,drop,dow,mistak,current,mind,trader,hold
iter21_cv_split2,lower,dow,crash,current,brutal,ain,major,think,view,leg
iter21_cv_split3,crash,lower,drop,rebound,instead,mistak,dow,potenti,brutal,ain
iter21_cv_split4,crash,lower,instead,leg,rebound,view,brutal,ain,mind,similiar
iter21_cv_split5,drop,rebound,instead,crash,mistak,think,view,current,brutal,ain
iter22_cv_split1,crash,leg,drop,mistak,dow,think,trader,view,similiar,preceed
iter22_cv_split2,lower,instead,mistak,dow,drop,think,crash,current,brutal,ain
iter22_cv_split3,crash,leg,potenti,rebound,dow,think,ain,brutal,view,drop
iter22_cv_split4,crash,lower,rebound,instead,current,view,major,mistak,brutal,ain
iter22_cv_split5,lower,leg,instead,crash,rebound,mistak,current,ain,brutal,preceed
iter23_cv_split1,crash,lower,instead,drop,mistak,dow,major,brutal,ain,trader
iter23_cv_split2,leg,crash,instead,mind,brutal,ain,drop,preceed,similiar,altitud
iter23_cv_split3,crash,leg,instead,potenti,rebound,dow,mistak,current,think,view
iter23_cv_split4,crash,leg,rebound,lower,dow,drop,current,view,potenti,trendlin
iter23_cv_split5,rebound,lower,think,instead,mistak,ain,brutal,drop,current,view
iter24_cv_split1,crash,instead,leg,mistak,current,view,brutal,ain,preceed,similiar
iter24_cv_split2,lower,leg,rebound,think,potenti,current,view,brutal,ain,preceed
iter24_cv_split3,crash,leg,lower,instead,drop,think,dow,view,hold,similiar
iter24_cv_split4,rebound,lower,drop,instead,dow,mistak,crash,major,brutal,ain
iter24_cv_split5,crash,drop,lower,instead,rebound,leg,current,dow,mistak,brutal
iter25_cv_split1,crash,leg,lower,rebound,instead,dow,current,mistak,view,potenti
iter25_cv_split2,crash,rebound,drop,instead,dow,ain,brutal,view,think,mind
iter25_cv_split3,crash,leg,lower,instead,mistak,hold,major,trader,brutal,ain
iter25_cv_split4,lower,drop,mistak,dow,crash,brutal,ain,current,similiar,preceed
iter25_cv_split5,rebound,leg,lower,think,current,ain,brutal,potenti,drop,mind
iter26_cv_split1,lower,drop,instead,rebound,crash,mistak,current,leg,brutal,ain
iter26_cv_split2,crash,drop,leg,rebound,instead,think,hold,dow,trend,view
iter26_cv_split3,lower,crash,current,ain,brutal,preceed,similiar,view,mind,potenti
iter26_cv_split4,crash,lower,instead,dow,current,mistak,ain,brutal,think,major
iter26_cv_split5,crash,leg,rebound,mistak,dow,drop,think,view,current,brutal
iter27_cv_split1,crash,rebound,leg,instead,drop,dow,ain,brutal,similiar,preceed
iter27_cv_split2,crash,lower,leg,instead,current,mistak,mind,brutal,ain,view
iter27_cv_split3,crash,rebound,leg,instead,dow,mistak,current,think,view,drop
iter27_cv_split4,drop,lower,crash,think,current,brutal,ain,similiar,preceed,view
iter27_cv_split5,lower,rebound,mistak,drop,dow,crash,view,hold,brutal,ain
iter28_cv_split1,crash,rebound,leg,instead,current,dow,mistak,think,view,mind
iter28_cv_split2,leg,crash,lower,instead,dow,mistak,think,brutal,ain,trader
iter28_cv_split3,crash,rebound,lower,drop,instead,dow,mistak,current,view,ain
iter28_cv_split4,drop,instead,rebound,crash,think,brutal,ain,similiar,preceed,mind
iter28_cv_split5,lower,crash,current,major,trader,brutal,ain,view,similiar,preceed
iter29_cv_split1,leg,crash,think,current,drop,market,view,mind,similiar,preceed
iter29_cv_split2,lower,rebound,instead,drop,dow,mistak,crash,point,brutal,ain
iter29_cv_split3,crash,lower,instead,mistak,current,major,brutal,ain,view,leg
iter29_cv_split4,crash,rebound,instead,leg,dow,mistak,current,ain,brutal,think
iter29_cv_split5,crash,rebound,lower,drop,potenti,dow,think,brutal,ain,view
iter30_cv_split1,lower,dow,instead,mistak,think,brutal,ain,view,preceed,similiar
iter30_cv_split2,crash,lower,think,drop,current,dow,leg,ain,brutal,trader
iter30_cv_split3,rebound,instead,crash,mistak,current,view,mind,brutal,ain,similiar
iter30_cv_split4,crash,lower,instead,rebound,drop,leg,dow,ain,brutal,trend
iter30_cv_split5,crash,leg,potenti,instead,rebound,drop,mistak,dow,think,view
iter31_cv_split1,crash,rebound,mistak,brutal,ain,view,liquid,altitud,similiar,preceed
iter31_cv_split2,crash,lower,dow,current,think,brutal,ain,potenti,drop,point
