,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,brutal,ain,similiar,preceed,crash,instead,lower,hold,mistak,leg
iter1_cv_split2,view,similiar,preceed,lower,rebound,leg,major,liquid,outcom,unsatisfi
iter1_cv_split3,view,brutal,ain,instead,crash,mistak,incom,major,mind,outcom
iter1_cv_split4,view,preceed,similiar,rebound,brutal,ain,lower,mistak,instead,dow
iter1_cv_split5,view,similiar,preceed,brutal,ain,lower,leg,crash,instead,incom
iter2_cv_split1,view,mistak,similiar,preceed,leg,crash,instead,dow,incom,drop
iter2_cv_split2,brutal,ain,rebound,mistak,lower,similiar,preceed,instead,leg,dow
iter2_cv_split3,view,similiar,preceed,brutal,ain,lower,incom,instead,mistak,crash
iter2_cv_split4,view,brutal,ain,rebound,instead,preceed,similiar,liquid,major,leg
iter2_cv_split5,view,ain,brutal,crash,major,lower,hold,rebound,mind,potenti
iter3_cv_split1,preceed,similiar,rebound,mistak,instead,potenti,lower,crash,leg,mind
iter3_cv_split2,view,preceed,similiar,leg,brutal,ain,lower,crash,vix,rebound
iter3_cv_split3,view,brutal,ain,rebound,mistak,similiar,preceed,liquid,instead,leg
iter3_cv_split4,view,brutal,ain,rebound,instead,crash,major,mistak,mind,drop
iter3_cv_split5,view,lower,crash,brutal,ain,similiar,preceed,incom,instead,mistak
iter4_cv_split1,view,brutal,similiar,preceed,ain,crash,lower,instead,mistak,leg
iter4_cv_split2,view,preceed,similiar,lower,rebound,dow,leg,major,crash,mind
iter4_cv_split3,view,brutal,ain,similiar,preceed,instead,mistak,leg,lower,incom
iter4_cv_split4,view,brutal,ain,lower,similiar,preceed,major,rebound,instead,mistak
iter4_cv_split5,brutal,ain,hold,mistak,rebound,crash,instead,dow,add,stop
iter5_cv_split1,view,similiar,preceed,brutal,ain,leg,mistak,crash,lower,rebound
iter5_cv_split2,brutal,ain,instead,lower,rebound,similiar,preceed,hold,dow,drop
iter5_cv_split3,view,brutal,ain,rebound,preceed,similiar,instead,incom,mistak,crash
iter5_cv_split4,view,rebound,mistak,instead,leg,incom,dow,preceed,similiar,major
