,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,updat,amp,start,scenario,use,readi,becom,best,updat breakout,bag
iter1_cv_split2,updat,market,target,mani,chart,bag,best,use,amp,anoth
iter1_cv_split3,new,updat,start,target,money,sinc,best,amp,like,daili
iter1_cv_split4,updat,market,target,anoth,today,amp,money,use,updat hit,like
iter1_cv_split5,updat,market,readi,bag,like,start,money,amp,best,project
iter2_cv_split1,updat,amp,market,target,new,start,total,soon,like,today
iter2_cv_split2,updat,market,scenario,start,amp,updat breakout,money,bag,target,usd
iter2_cv_split3,updat,start,amp,readi,becom,breakout,use,like,money,purpl
iter2_cv_split4,updat,break,wait,amp,bag,updat breakout,target,best,anoth,use
iter2_cv_split5,updat,sinc,new,target,money,best,like,becom,bag,readi
iter3_cv_split1,updat,new,bag,patienc,break,money,start,best,amp,soon
iter3_cv_split2,updat,market,breakout,like,money,use,becom,total,cap,market cap
iter3_cv_split3,updat,market,amp,bag,best,scenario,chart,new,start,becom
iter3_cv_split4,updat,amp,target,breakout,start,chart,like,mani,don,best
iter3_cv_split5,updat,start,sinc,target,realli,purpl,marketcap,updat breakout,great,launch
iter4_cv_split1,updat,new,target,bag,money,break,like,becom,best,start
iter4_cv_split2,updat,scenario,amp,like,start,use,today,anoth,updat breakout,becom
iter4_cv_split3,updat,use,amp,soon,becom,best,project,new,usd,don
iter4_cv_split4,updat,market,breakout,bag,start,sinc,chart,total,cap,market cap
iter4_cv_split5,updat,market,amp,like,money,start,readi,target,usd,best
iter5_cv_split1,updat,updat breakout,breakout,coin,bag,money,anoth,use,gt,break
iter5_cv_split2,updat,amp,break,new,scenario,money,bag,like,mani,best
iter5_cv_split3,updat,start,market,new,amp,readi,target,becom,cap,market cap
iter5_cv_split4,updat,start,scenario,target,best,becom,anoth,new,amp,usd
iter5_cv_split5,updat,market,resist,great,money,best,amp,target,use,month
iter6_cv_split1,updat,market,best,total,cap,market cap,target,bag,amp,becom
iter6_cv_split2,updat,start,target,usd,money,use,like,becom,today,bag
iter6_cv_split3,updat,market,amp,chart,best,money,scenario,start,target,use
iter6_cv_split4,updat,amp,new,start,break,check,money,use,target,anoth
iter6_cv_split5,updat,new,amp,like,scenario,start,wait,updat hit,hit,bag
iter7_cv_split1,market,updat,new,amp,sinc,total,market cap,cap,best,bag
iter7_cv_split2,updat,amp,start,money,usd,target,updat breakout,becom,interest,use
iter7_cv_split3,updat,start,money,scenario,like,target,best,break,new,becom
iter7_cv_split4,updat,chart,amp,start,mani,bag,new,roadmap,like,great
iter7_cv_split5,updat,market,amp,patienc,market cap,cap,target,best,money,break
iter8_cv_split1,updat,market,new,updat breakout,use,cap,market cap,best,money,anoth
iter8_cv_split2,updat,bag,start,like,sinc,target,new,usd,money,don
iter8_cv_split3,updat,market,amp,new,best,money,target,like,updat breakout,don
iter8_cv_split4,updat,amp,target,start,readi,bag,wait,becom,updat hit,project
iter8_cv_split5,updat,chart,scenario,break,like,coin,interest,money,best,new
iter9_cv_split1,amp,updat,start,bag,new,break,updat breakout,best,target,money
iter9_cv_split2,updat,target,break,readi,start,scenario,use,sinc,amp,like
iter9_cv_split3,updat,amp,best,money,updat breakout,target,becom,use,usd,don
iter9_cv_split4,market,updat,like,money,scenario,target,usd,anoth,best,cap
iter9_cv_split5,updat,new,bag,money,gt,updat breakout,like,becom,realli,doesn
iter10_cv_split1,updat,market,scenario,chart,like,break,becom,launch,money,use
iter10_cv_split2,updat,new,best,money,like,target,becom,start,don,amp
iter10_cv_split3,updat,market,amp,new,best,scenario,updat breakout,mani,bag,target
iter10_cv_split4,updat,market,bag,new,roadmap,start,sinc,total,anoth,break
iter10_cv_split5,updat,start,amp,usd,money,today,target,anoth,updat hit,bag
iter11_cv_split1,updat,market,start,amp,bag,target,money,new,great,best
iter11_cv_split2,updat,amp,new,breakout,updat breakout,continu,chart,target,money,becom
iter11_cv_split3,updat,market,target,break,best,like,new,start,cap,market cap
iter11_cv_split4,updat,amp,scenario,bag,money,boom,readi,today,start,becom
iter11_cv_split5,updat,break,updat breakout,use,becom,start,bag,target,accumul,best
iter12_cv_split1,updat,break,target,like,breakout,best,updat breakout,mani,anoth,start
iter12_cv_split2,updat,start,new,amp,bag,target,scenario,sinc,money,mani
iter12_cv_split3,updat,chart,market,amp,resist,start,today,target,sinc,money
iter12_cv_split4,updat,amp,breakout,scenario,readi,hit,target,money,gt,bag
iter12_cv_split5,updat,readi,new,start,money,market,amp,becom,best,bag
iter13_cv_split1,updat,amp,start,market,bag,use,new,break,readi,project
iter13_cv_split2,updat,amp,new,money,soon,becom,best,bag,use,purpl
iter13_cv_split3,updat,breakout,updat breakout,best,break,target,new,anoth,gt,becom
iter13_cv_split4,updat,market,new,scenario,cap,market cap,start,mani,don,updat breakout
iter13_cv_split5,updat,amp,target,bag,usd,like,sinc,readi,start,updat breakout
iter14_cv_split1,updat,start,chart,best,money,like,amp,interest,sinc,roadmap
iter14_cv_split2,market,break,updat,new,readi,money,becom,best,updat hit,amp
iter14_cv_split3,updat,new,amp,target,bag,start,ath,updat breakout,patienc,wait
iter14_cv_split4,updat,breakout,start,target,great,becom,use,sinc,bag,like
iter14_cv_split5,updat,scenario,anoth,amp,today,break,coin,start,bag,becom
iter15_cv_split1,updat,new,today,anoth,scenario,sinc,start,amp,updat breakout,like
iter15_cv_split2,updat,start,amp,bag,breakout,like,money,becom,new,best
iter15_cv_split3,updat,market,scenario,break,target,money,best,coin,becom,start
iter15_cv_split4,updat,amp,target,start,best,money,boom,readi,usd,use
iter15_cv_split5,market,like,bag,new,best,updat,break,use,chart,amp
iter16_cv_split1,updat,target,bag,money,start,best,break,readi,like,day
iter16_cv_split2,updat,market,chart,new,resist,like,start,bag,money,today
iter16_cv_split3,updat,amp,new,start,chart,target,continu,don,best,money
iter16_cv_split4,updat,amp,breakout,sinc,bag,break,updat breakout,target,wait,launch
iter16_cv_split5,updat,market,scenario,break,amp,best,start,use,total,like
iter17_cv_split1,updat,breakout,new,like,bag,amp,best,money,start,use
iter17_cv_split2,updat,start,readi,money,updat hit,target,like,hit,wait,anoth
iter17_cv_split3,updat,scenario,target,amp,start,use,break,don,purpl,real
iter17_cv_split4,updat,market,target,btc,becom,start,best,boom,amp,bag
iter17_cv_split5,updat,amp,market,anoth,new,coin,money,best,updat breakout,like
iter18_cv_split1,updat,new,anoth,great,start,break,bag,money,mani,like
iter18_cv_split2,updat,market,target,chart,new,becom,best,amp,soon,break
iter18_cv_split3,updat,market,continu,money,today,start,bag,amp,target,wait
iter18_cv_split4,updat,amp,break,start,target,updat breakout,best,use,interest,doesn
iter18_cv_split5,updat,amp,scenario,like,new,check,don,money,best,bag
iter19_cv_split1,updat,chart,amp,target,updat breakout,becom,bag,usd,daili,money
iter19_cv_split2,updat,like,market,readi,best,money,bag,coin,patienc,daili
iter19_cv_split3,updat,amp,new,start,anoth,break,like,becom,best,use
iter19_cv_split4,updat,amp,updat breakout,use,break,breakout,target,new,start,money
iter19_cv_split5,updat,market,new,start,amp,like,target,money,total,bag
iter20_cv_split1,updat,market,bag,new,use,market cap,cap,amp,start,total
iter20_cv_split2,updat,start,chart,amp,like,scenario,break,money,becom,new
iter20_cv_split3,updat,amp,target,hit,readi,marketcap,usd,money,best,anoth
iter20_cv_split4,updat,breakout,amp,target,money,best,new,start,sinc,like
iter20_cv_split5,updat,market,start,readi,like,mani,becom,bag,usd,today
iter21_cv_split1,updat,market,amp,scenario,cap,market cap,break,money,use,hit
iter21_cv_split2,updat,new,amp,best,start,breakout,check,scenario,money,updat breakout
iter21_cv_split3,updat,market,bag,like,anoth,amp,usd,money,mani,chart
iter21_cv_split4,updat,target,continu,start,becom,interest,amp,boom,readi,daili
iter21_cv_split5,updat,break,new,target,start,money,sinc,like,becom,updat breakout
iter22_cv_split1,updat,start,target,best,anoth,breakout,hit,new,becom,money
iter22_cv_split2,updat,like,break,amp,start,money,bag,mani,best,project
iter22_cv_split3,updat,market,start,market cap,cap,amp,updat breakout,best,bag,target
iter22_cv_split4,updat,new,amp,bag,target,don,accumul,becom,best,break
iter22_cv_split5,amp,new,chart,target,money,btc,don,sinc,use,start
iter23_cv_split1,updat,break,market,roadmap,best,target,readi,anoth,amp,coin
iter23_cv_split2,updat,start,amp,bag,chart,new,target,usd,today,don
iter23_cv_split3,updat,new,target,bag,amp,breakout,readi,start,best,sinc
iter23_cv_split4,updat,breakout,amp,scenario,new,updat breakout,money,like,target,bag
iter23_cv_split5,updat,market,like,money,use,start,soon,becom,amp,daili
iter24_cv_split1,updat,amp,anoth,target,start,sinc,bag,accumul,today,day
iter24_cv_split2,updat,market,amp,start,money,target,best,break,bag,readi
iter24_cv_split3,updat,market,target,start,use,chart,readi,amp,new,becom
iter24_cv_split4,updat,bag,scenario,amp,best,sinc,break,new,money,becom
iter24_cv_split5,updat,like,new,anoth,updat breakout,best,today,boom,target,amp
iter25_cv_split1,updat,market,break,chart,like,start,target,anoth,amp,don
iter25_cv_split2,amp,updat,breakout,bag,updat breakout,money,new,mani,becom,use
iter25_cv_split3,updat,market,bag,soon,new,start,amp,target,becom,interest
iter25_cv_split4,updat,start,money,best,sinc,coin,break,readi,updat breakout,target
iter25_cv_split5,updat,amp,new,like,scenario,target,money,best,use,bag
iter26_cv_split1,updat,market,start,new,amp,cap,market cap,readi,target,money
iter26_cv_split2,updat,chart,amp,target,becom,break,updat breakout,updat hit,bag,like
iter26_cv_split3,updat,break,bag,amp,scenario,new,like,start,use,becom
iter26_cv_split4,market,like,scenario,anoth,readi,usd,start,interest,money,best
