,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,edit,need,mega,baller,probabl,ema,gent,adjust,fk,bearish
iter1_cv_split2,bimpress,myspac,need,tether,fk,proceed,analyst,ih,gent,smellyalat
iter1_cv_split3,edit,adjust,baller,mega,bimpress,myspac,satoshi,bear,ih,kind
iter1_cv_split4,bimpress,tether,edit,need,adjust,ask,analyst,fk,ih,presal
iter1_cv_split5,bimpress,edit,need,gent,myspac,baller,mega,fk,ahead,adjust
iter2_cv_split1,bimpress,edit,adjust,mega,baller,fk,need,chart,probabl,btc
iter2_cv_split2,bimpress,edit,need,adjust,mega,baller,myspac,fk,ahead,presal
iter2_cv_split3,tether,possibl,baller,mega,gent,run,myspac,proceed,kind,edit
iter2_cv_split4,edit,need,gent,adjust,myspac,tether,btc,mankind,probabl,gold
iter2_cv_split5,bimpress,tether,need,analyst,fk,myspac,mega,baller,real,presal
iter3_cv_split1,bimpress,tether,edit,myspac,need,fk,wake,come,presal,kind
iter3_cv_split2,edit,adjust,need,tether,mega,baller,ask,probabl,analyst,gent
iter3_cv_split3,edit,baller,mega,bimpress,need,proceed,myspac,adjust,ask,group
iter3_cv_split4,bimpress,need,myspac,fk,probabl,tether,possibl,gent,run,everi
iter3_cv_split5,bimpress,edit,tether,gent,smellyalat,need,ih,futur,myspac,abov
iter4_cv_split1,edit,tether,mega,baller,myspac,ask,probabl,analyst,need,adjust
iter4_cv_split2,bimpress,edit,need,analyst,mega,baller,fk,proceed,gent,adjust
iter4_cv_split3,bimpress,adjust,edit,myspac,need,gent,smoke,mankind,probabl,rest
iter4_cv_split4,bimpress,need,tether,analyst,fk,edit,gent,possibl,altcoin,kind
iter4_cv_split5,bimpress,tether,need,mega,baller,myspac,fk,adjust,ih,run
iter5_cv_split1,tether,bimpress,mega,baller,gent,proceed,wake,presal,freebi,ema
iter5_cv_split2,edit,bimpress,fk,adjust,need,myspac,analyst,gent,ask,btc
iter5_cv_split3,bimpress,edit,need,myspac,run,fk,mega,baller,tether,presal
iter5_cv_split4,need,tether,adjust,analyst,myspac,edit,ask,gent,possibl,ih
iter5_cv_split5,bimpress,edit,adjust,need,myspac,fk,baller,mega,proceed,sure
iter6_cv_split1,tether,bimpress,baller,mega,edit,myspac,need,analyst,proceed,btc
iter6_cv_split2,bimpress,need,tether,adjust,ih,probabl,presal,bullish,proceed,kind
iter6_cv_split3,baller,mega,adjust,tether,myspac,edit,analyst,btc,fk,proceed
iter6_cv_split4,edit,bimpress,need,adjust,gent,fk,myspac,ask,real,probabl
iter6_cv_split5,bimpress,edit,need,adjust,analyst,mega,baller,probabl,altcoin,ask
iter7_cv_split1,edit,bimpress,need,tether,myspac,ih,fk,ahead,proceed,possibl
iter7_cv_split2,baller,mega,tether,bimpress,proceed,gent,probabl,presal,need,bullish
iter7_cv_split3,bimpress,edit,adjust,need,analyst,mega,baller,myspac,fk,btc
iter7_cv_split4,edit,bimpress,myspac,adjust,fk,analyst,ask,gent,mega,baller
iter7_cv_split5,edit,tether,need,adjust,run,fk,probabl,ask,everi,ema
iter8_cv_split1,bimpress,edit,need,tether,myspac,fk,ask,proceed,probabl,gent
iter8_cv_split2,edit,tether,adjust,myspac,gent,ih,altcoin,bigger,proceed,kind
iter8_cv_split3,edit,adjust,mega,baller,tether,probabl,myspac,need,proceed,real
iter8_cv_split4,bimpress,need,baller,mega,fk,tether,analyst,btc,sure,smoke
iter8_cv_split5,bimpress,edit,need,ask,analyst,btc,possibl,smellyalat,probabl,ih
iter9_cv_split1,edit,myspac,btc,proceed,trader,tether,probabl,gold,ih,bigger
iter9_cv_split2,edit,tether,mega,baller,myspac,need,adjust,wake,bullish,group
iter9_cv_split3,bimpress,btc,gent,need,fk,ask,analyst,adjust,kind,baller
iter9_cv_split4,bimpress,need,edit,mega,baller,fk,adjust,ask,analyst,ema
iter9_cv_split5,bimpress,edit,need,baller,mega,proceed,tether,fk,ih,probabl
iter10_cv_split1,bimpress,need,baller,mega,edit,tether,adjust,proceed,ih,fk
iter10_cv_split2,bimpress,edit,futur,tether,baller,mega,myspac,ahead,fk,gent
iter10_cv_split3,need,bimpress,myspac,analyst,ask,proceed,gent,wake,abov,possibl
iter10_cv_split4,bimpress,edit,tether,analyst,margin,mega,baller,myspac,need,ask
iter10_cv_split5,edit,adjust,need,myspac,altcoin,proceed,probabl,gent,presal,fk
iter11_cv_split1,bimpress,edit,need,adjust,myspac,tether,ask,probabl,real,gent
iter11_cv_split2,edit,baller,mega,adjust,bimpress,tether,need,margin,analyst,probabl
iter11_cv_split3,need,edit,fk,btc,proceed,run,rest,ih,futur,presal
iter11_cv_split4,bimpress,sure,tether,gent,fk,myspac,baller,mega,proceed,kind
iter11_cv_split5,bimpress,edit,fk,adjust,need,proceed,altcoin,baller,mega,myspac
iter12_cv_split1,bimpress,edit,adjust,altcoin,tether,need,baller,mega,fk,myspac
iter12_cv_split2,bimpress,edit,myspac,analyst,need,baller,mega,ask,run,discount
iter12_cv_split3,edit,need,probabl,adjust,sure,proceed,fk,btc,discount,mankind
iter12_cv_split4,bimpress,tether,mega,baller,gent,margin,edit,need,fk,kind
iter12_cv_split5,need,myspac,tether,ih,bigger,abov,analyst,ema,wake,ask
