,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,scale,teeka,valu,mention,mustread,satoshi,numero,cure,doe,enhanc
iter1_cv_split2,valu,calm,shitcoin,app,cure,lose,financi,cancel,onchain,transfer
iter1_cv_split3,doe,lose,scale,transfer,doge,nativ,denial,dos,pump,beat
iter1_cv_split4,lose,scale,transfer,calm,denial,form,pleas,lucki,sourc,sockpuppet
iter1_cv_split5,doe,shitcoin,fantast,lose,igni,abc,uneduc,play,sourc,numero
iter2_cv_split1,valu,abc,doge,credibl,scale,tri,supportsign,rope,denial,climb
iter2_cv_split2,valu,shitcoin,sockpuppet,abc,holder,couldn,hepat,hater,satoshi,doe
iter2_cv_split3,denial,cure,doe,shitcoin,dos,probabl,lose,transfer,uneduc,play
iter2_cv_split4,doe,scale,lose,cure,beat,clientbest,abc,know,denial,nativ
iter2_cv_split5,doe,scale,clientbest,lose,holder,financi,vtc,slow,abc,enhanc
iter3_cv_split1,transfer,shitcoin,lose,mustread,doe,abc,probabl,credibl,scale,dos
iter3_cv_split2,doe,shitcoin,lose,play,credibl,holder,uneduc,wish,competit,pump
iter3_cv_split3,lose,transfer,scale,doe,holder,short,abc,uneduc,dos,app
iter3_cv_split4,doe,scale,lose,holder,calm,clientbest,slow,fact,cure,shitcoin
iter3_cv_split5,lose,climb,denial,transfer,shitcoin,calm,doe,financi,play,credit
iter4_cv_split1,doe,scale,lose,hodler,place,uneduc,mustread,confidenti,shitcoin,calm
iter4_cv_split2,doe,shitcoin,lose,wish,sockpuppet,fork,financi,mustread,calm,layer
iter4_cv_split3,lose,shitcoin,denial,doe,vtc,short,clientbest,sourc,abc,segwitx
iter4_cv_split4,doe,lose,dos,scale,place,lower,cure,tx,mustread,doge
iter4_cv_split5,valu,shitcoin,clientbest,sourc,appreci,advic,bitcoinlitecoin,uneduc,doe,sold
iter5_cv_split1,doe,scale,lose,offici,denial,dark,crisi,fork,vtc,tx
iter5_cv_split2,lose,shitcoin,doe,sold,denial,climb,sourc,crisi,gimmick,igni
iter5_cv_split3,transfer,lose,shitcoin,denial,sold,sourc,tx,doe,play,short
iter5_cv_split4,valu,onchain,nxt,cure,appreci,dos,calm,segwit,shitcoin,doe
iter5_cv_split5,scale,doe,lose,climb,calm,beat,nxt,couldn,mustread,advic
iter6_cv_split1,doe,lose,shitcoin,holder,play,kind,credit,cure,short,transfer
iter6_cv_split2,scale,doe,lose,denial,went,lower,privaci,th,credibl,tx
iter6_cv_split3,lose,shitcoin,transfer,financi,holder,numero,hater,hepat,doe,noth
iter6_cv_split4,valu,denial,accept,satoshi,scale,numero,igni,credibl,privaci,fact
iter6_cv_split5,doe,shitcoin,sold,decembera,mustread,hepat,believ,beat,lose,competit
iter7_cv_split1,scale,hepat,place,doe,lose,doge,denial,advic,sold,couldn
iter7_cv_split2,doe,lose,nxt,shitcoin,dos,cure,play,mustread,bankrupt,supportsign
